day,dose_mg_day,suppression_pct
1.0,2.8208860759493666,33.59917461388434
2.0,2.8208860759493666,40.051678741791385
3.0,2.8208860759493666,42.776925808572074
4.0,2.8208860759493666,44.272363863311206
5.0,2.8208860759493666,45.21167259513593
6.0,2.8208860759493666,45.85254043297926
7.0,2.8208860759493666,46.31482658500764
8.0,2.8208860759493666,46.66185146027944
9.0,2.8208860759493666,46.930223617561964
10.0,2.8208860759493666,47.14258601233803
11.0,2.8208860759493666,47.31369891534048
12.0,2.8208860759493666,47.453597719403405
13.0,2.8208860759493666,47.56934490877778
14.0,2.8208860759493666,47.66605594007059
15.0,2.8208860759493666,47.74752743438809
16.0,2.8208860759493666,47.81663663772559
17.0,2.8208860759493666,47.87560376866601
18.0,2.8208860759493666,47.926169204109755
19.0,2.8208860759493666,47.96971611498983
20.0,2.8208860759493666,48.00735720366954
21.0,2.8208860759493666,48.03999724633156
22.0,2.8208860759493666,48.03999724633156
23.0,2.8208860759493666,48.03999724633156
24.0,2.8208860759493666,48.03999724633156
25.0,2.8208860759493666,48.03999724633156
26.0,2.8208860759493666,48.03999724633156
27.0,2.8208860759493666,48.03999724633156
28.0,2.8208860759493666,48.03999724633156
29.0,2.8208860759493666,48.03999724633156
30.0,2.8208860759493666,48.03999724633156
31.0,2.8208860759493666,48.03999724633156
32.0,2.8208860759493666,48.03999724633156
33.0,2.8208860759493666,48.03999724633156
34.0,2.8208860759493666,48.03999724633156
35.0,2.8208860759493666,48.03999724633156
36.0,2.8208860759493666,48.03999724633156
37.0,2.8208860759493666,48.03999724633156
38.0,2.8208860759493666,48.03999724633156
39.0,2.8208860759493666,48.03999724633156
40.0,2.8208860759493666,48.03999724633156
41.0,2.8208860759493666,48.03999724633156
42.0,2.8208860759493666,48.03999724633156
43.0,2.8208860759493666,48.03999724633156
44.0,2.8208860759493666,48.03999724633156
45.0,2.8208860759493666,48.03999724633156
46.0,2.8208860759493666,48.03999724633156
47.0,2.8208860759493666,48.03999724633156
48.0,2.8208860759493666,48.03999724633156
49.0,2.8208860759493666,48.03999724633156
50.0,2.8208860759493666,48.03999724633156
51.0,2.8208860759493666,48.03999724633156
52.0,2.8208860759493666,48.03999724633156
53.0,2.8208860759493666,48.03999724633156
54.0,2.8208860759493666,48.03999724633156
55.0,2.8208860759493666,48.03999724633156
56.0,2.8208860759493666,48.03999724633156
0.0,2.946835443037974,0.0
1.0,2.946835443037974,34.098696329680514
2.0,2.946835443037974,40.425801183965454
3.0,2.946835443037974,43.07743611586072
4.0,2.946835443037974,44.52731651456298
5.0,2.946835443037974,45.43614672055901
6.0,2.946835443037974,46.05539696423552
7.0,2.946835443037974,46.50167574228395
8.0,2.946835443037974,46.836456815150264
9.0,2.946835443037974,47.09522653323891
10.0,2.946835443037974,47.299907960558166
