Scenario,Dose_mg_per_day,Day,n_mc,suppression_pct_p01,suppression_pct_p05,suppression_pct_p25,suppression_pct_p50,suppression_pct_p75,suppression_pct_p95,suppression_pct_p99
24h_half_life (r=0.5),1.0,12,15000,29.178491748884518,30.032952758774083,31.70420886288908,33.147651558333806,34.831228734693504,37.6656019636732,39.65840946543982
24h_half_life (r=0.5),1.0,13,15000,31.20321378278662,32.008602202678745,33.57151501673551,34.90769766476955,36.44910102008762,38.99759751828746,40.74765510818326
24h_half_life (r=0.5),1.0,14,15000,33.16647270147282,33.90919482786813,35.33927116854687,36.549595858240494,37.930695270055644,40.17389694291697,41.67906878649218
24h_half_life (r=0.5),1.0,15,15000,35.07012160191555,35.737568739282274,37.0127697756181,38.08126111563304,39.28747299446928,41.212679050050816,42.47549783780087
24h_half_life (r=0.5),1.0,16,15000,36.915964062838896,37.496461416508296,38.59702931230782,39.510086188995935,40.52994054019687,42.13001033578364,43.15649356220277
24h_half_life (r=0.5),1.0,17,15000,38.70575226812955,39.18850991819421,40.096804749417515,40.84297204342688,41.66772428503332,42.94008531008744,43.73878107006344
24h_half_life (r=0.5),1.0,18,15000,40.441186877902716,40.816252889125124,41.51659954128559,42.08635856613298,42.709642140135905,43.655442057072364,44.23666499283695
24h_half_life (r=0.5),1.0,19,15000,42.12391774848386,42.382133395879414,42.86067800649514,43.24625437048122,43.66377034935234,44.28715425509461,44.66237836766619
24h_half_life (r=0.5),1.0,20,15000,43.75554505294157,43.88850210705508,44.13307756466133,44.32826517716275,44.537505320782046,44.84500157649591,45.02638194050026
24h_half_life (r=0.5),1.0,21,15000,45.33762057877811,45.337620578778115,45.33762057877812,45.337620578778136,45.33762057877815,45.33762057877815,45.337620578778164
36h_half_life (r=0.63),0.1,0,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36h_half_life (r=0.63),0.1,1,15000,0.5732660551675226,0.6119861438026238,0.6945578238484394,0.7744168894533234,0.879998524392867,1.1000303510651852,1.3048677645626723
36h_half_life (r=0.63),0.1,2,15000,1.4138693457738605,1.50469318397462,1.6970690307316951,1.881493462455584,2.122953551772028,2.6178312163616995,3.0687250120121448
36h_half_life (r=0.63),0.1,3,15000,2.3855950153288568,2.5307042616003765,2.835912055927839,3.1258491012445297,3.5016476523505693,4.258751914118433,4.933465473719785
36h_half_life (r=0.63),0.1,4,15000,3.4188546874584236,3.6149156032438503,4.024329137367815,4.409639167330439,4.903933999084328,5.882505451200804,6.73513240807982
36h_half_life (r=0.63),0.1,5,15000,4.475345430016279,4.71622023622114,5.215533587256294,5.6809972972933815,6.271896057433124,7.4211862831619015,8.399937444293512
36h_half_life (r=0.63),0.1,6,15000,5.533129432195572,5.811302136904986,6.383652131905066,6.9120758833614815,7.575833090514307,8.843999631909059,9.899390960551177
36h_half_life (r=0.63),0.1,7,15000,6.579425026810966,6.8867947538548195,7.514477508298291,8.088366133722694,8.801579432048278,10.14004265515328,11.228457852107628
36h_half_life (r=0.63),0.1,8,15000,7.606793618094785,7.935129104339632,8.6005633782817,9.203027002470456,9.943769070300803,11.309195238259841,12.39411122705388
36h_half_life (r=0.63),0.1,9,15000,8.610996510795763,8.952198734527299,9.63846374624456,10.253694335699244,11.002053389545353,12.357058054945323,13.409082781978421
36h_half_life (r=0.63),0.1,10,15000,9.58974083349546,9.935993086970019,10.627117948452423,11.240617418497937,11.978902501841722,13.292063689851682,14.288394717813482
36h_half_life (r=0.63),0.1,11,15000,10.54192618484324,10.885776692689618,11.566882292429765,12.165545620230201,12.878302012595553,14.12381330195341,15.047447438170208
36h_half_life (r=0.63),0.1,12,15000,11.467184385579843,11.801588037161249,12.458940740116816,13.031054845559165,13.70497440987472,14.862126314191581,15.700999541918774
36h_half_life (r=0.63),0.1,13,15000,12.365595307277273,12.683930519993792,13.304943415279295,13.840138190853228,14.463914890797133,15.516512271541028,16.262664644496517
36h_half_life (r=0.63),0.1,14,15000,13.237510290780046,13.533580803408318,14.106784286632294,14.595957770496337,15.160118207643666,16.095894346085835,16.744706390838786
36h_half_life (r=0.63),0.1,15,15000,14.083442033535096,14.351469678005735,14.866464742097605,15.301695755196734,15.798422331353844,16.608482428038123,17.158002272743413
36h_half_life (r=0.63),0.1,16,15000,14.903995830616369,15.138608033194464,15.586010490308356,15.960466759525264,16.38342363485951,17.061733992126847,17.512099208660864
36h_half_life (r=0.63),0.1,17,15000,15.699826657639457,15.896040999254891,16.267421673255157,16.575268201058144,16.91943568637521,17.462365120424266,17.815315134877515
36h_half_life (r=0.63),0.1,18,15000,16.471612445803117,16.624819726642244,16.912643678328486,17.148954105839753,17.410474369867384,17.81638880604325,18.07485975994767
36h_half_life (r=0.63),0.1,19,15000,17.220037518338557,17.325984219125576,17.523550834956993,17.68422330325936,17.860258611742623,18.129166719137487,18.29695909669916
36h_half_life (r=0.63),0.1,20,15000,17.945782408406387,18.00055309482745,18.101938102875458,18.183616354697733,18.272220070037537,18.405466199929496,18.48697532271008
36h_half_life (r=0.63),0.1,21,15000,18.649517684887414,18.649517684887424,18.64951768488745,18.64951768488746,18.649517684887467,18.649517684887485,18.649517684887506
36h_half_life (r=0.63),0.3,0,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36h_half_life (r=0.63),0.3,1,15000,1.24959252962485,1.3360282902500817,1.5206136857903108,1.6993900829319522,1.9360069374744118,2.4295529710224373,2.8890291227173357
36h_half_life (r=0.63),0.3,2,15000,2.818993378397759,3.0037845815007054,3.3954846904428457,3.771203180503483,4.263166162493452,5.270600255220234,6.186397104207429
36h_half_life (r=0.63),0.3,3,15000,4.497737762511452,4.776022769127538,5.361427544376637,5.917417362578856,6.63749189209081,8.084708150307733,9.368777023710583
36h_half_life (r=0.63),0.3,4,15000,6.206807138911344,6.567838033705553,7.321469669997375,8.03009103647973,8.937730496208438,10.727849204637646,12.277825779695249
36h_half_life (r=0.63),0.3,5,15000,7.909691267250465,8.340435304547508,9.232617597230435,10.063076572975255,11.114985634021341,13.150819075594246,14.870883466240134
36h_half_life (r=0.63),0.3,6,15000,9.587761602431959,10.074427032813405,11.074581412427937,11.996135482885961,13.15046733981649,15.342777985936037,17.150252633249607
36h_half_life (r=0.63),0.3,7,15000,11.23112450681431,11.759896740505175,12.838094214108406,13.821497966029703,15.039625445013932,17.31003675870018,19.1367889765814
36h_half_life (r=0.63),0.3,8,15000,12.83455833139392,13.391978736769113,14.519702953834845,15.53786102972117,16.78506601918684,19.066667742396582,20.85843183891809
