Scenario,Dose_mg_per_day,Day,suppression_pct_p05,suppression_pct_p50,suppression_pct_p95,suppression_pct_min,suppression_pct_max,n_alpha
36h_half_life (r=0.63),1.0,10,25.432885001783028,28.895676854392256,34.54630894674867,25.10033319913974,35.220793501397175,5
36h_half_life (r=0.63),1.0,11,27.597697545750954,30.956524408954753,36.26395087042514,27.27284244701434,36.889662986034374,5
36h_half_life (r=0.63),1.0,12,29.68378611738936,32.880772170068354,37.77480389542609,29.372415592588858,38.344694384742276,5
36h_half_life (r=0.63),1.0,13,31.69371490660237,34.67704366399814,39.1035978767741,31.401139979707885,39.6127519504473,5
36h_half_life (r=0.63),1.0,14,33.630100161687736,36.35358056860565,40.27226739170442,33.361180079867104,40.717527311449246,5
36h_half_life (r=0.63),1.0,15,35.49555145850328,37.91819486395069,41.30019492925759,35.25471923741443,41.67983572945534,5
36h_half_life (r=0.63),1.0,16,37.292636754253714,39.378251978122144,42.204464306428726,37.083924455047686,42.517917323215976,5
36h_half_life (r=0.63),1.0,17,39.0238620485873,40.74067219103741,43.000107290013155,38.8509253569509,43.24772599735509,5
36h_half_life (r=0.63),1.0,18,40.69166006349143,42.01194258668622,43.7003347262539,40.55780193183516,43.88319755729114,5
36h_half_life (r=0.63),1.0,19,42.29838449852626,43.198134850924305,44.31674825802496,42.20657772884097,44.43649347549278,5
36h_half_life (r=0.63),1.0,20,43.846307723906335,44.30492604110797,44.85953143899853,43.799216439867486,44.9182195920534,5
36h_half_life (r=0.63),1.0,21,45.33762057877812,45.33762057877815,45.33762057877815,45.337620578778115,45.33762057877815,5
